"","Titulo","New_Tipo","New_Tempo","Preco","New_Nota","Dono"
"1","Z Deli Dogs","Lanches",35,10.49,4.6,"Emanuel"
"2","Andiamo Ristorante - Cidade São Paulo","Italiana",39,9.99,4.7,"Emanuel"
"3","Amor Aos Pedaços - West Plaza","Doces & Bolos",39,7.99,4.3,"Emanuel"
"4","Casa Europa","Italiana",40,12.99,4.8,"Emanuel"
"5","Lancheria Original Brasil Santana","Açaí",27,6.99,0,"Emanuel"
"6","Al Capizza Pacaembu - Entrega própia","Pizza",40,0,4.2,"Emanuel"
"7","Purana","Saudável",39,12.99,4.7,"Emanuel"
"8","Pizzeria Cézanne - Sumarezinho","Pizza",50,4.9,4.7,"Emanuel"
"9","Brasileirinho Delivery - Centro - Sp","Brasileira",55,0,4.4,"Emanuel"
"10","Classic Burger Haus","Lanches",40,15.49,4.6,"Emanuel"
"11","Flying Sushi - Perdizes","Japonesa",40,8.99,4.4,"Emanuel"
"12","Mocotó Café -  Shopping D","Brasileira",45,7.99,4.9,"Emanuel"
"13","Waff, Waffles Doces, Salgados, Sorvetes","Lanches",35,5.99,4.8,"Emanuel"
"14","Eskina Pacaembu","Pizza",25,0,4.1,"Emanuel"
"15","Po Poke Delivery 🍚🥢","Japonesa",23,6.49,4.7,"Emanuel"
"16","Biscoitê - Higienópolis","Doces & Bolos",25,4.99,4.8,"Emanuel"
"17","Sushi Barra Funda","Japonesa",50,0,4.4,"Emanuel"
"18","Bolo da Madre - Aclimação","Doces & Bolos",33,13.49,4.8,"Emanuel"
"19","Japa One Fast","Japonesa",36,10.99,4.8,"Emanuel"
"20","Komah Por Paulo Shin","Coreana",32,12.99,4.9,"Emanuel"
"21","Açaí Concept - Augusta","Açaí",27,5.99,4.3,"Emanuel"
"22","Melt, Queijos Quentes - Center Norte","Lanches",38,8.49,4.8,"Emanuel"
"23","Bob's - Bráulio Gomes","Lanches",38,4.99,4.7,"Emanuel"
"24","Poke Haus","Japonesa",41,16.99,4.8,"Emanuel"
"25","Pizzaria São Paulo City","Pizza",25,0,4.4,"Emanuel"
"26","Sushi Por 0,99","Japonesa",51,9.49,4.6,"Emanuel"
"27","Let's Poke - Consolação","Saudável",37,6.99,4.7,"Emanuel"
"28","Gendai  Higienópolis","Japonesa",24,5.99,4.5,"Emanuel"
"29","Joy Korean Food","Coreana",34,7.99,4.8,"Emanuel"
"30","Manish Culinária Árabe","Árabe",61,10.49,4.4,"Emanuel"
"31","Kawazuro’s Sushis 1 Real","Japonesa",85,7.99,4.7,"Gustavo"
